well,tissue,cq,cq_mean,cq_stdev,sq,sq_mean,sq_stdev,logSQ,day,temp,titer,positive,organism_num,plate,name
B10,Abd,38.83,35.61,4.56,36.4,894,1213,1.561101384,3,27C,0,0,2,1,27C3Abd2
H10,Abd,35.13,35.24,0.23,336,317,42.5,2.526339277,3,27C,0,1,8,1,27C3Abd8
A10,Abd,36.13,35,1.12,30.5,82.2,59.7,1.484299839,3,27C,0,1,17,3,27C3Abd17
B10,Abd,35.19,35.75,0.68,59.1,42.7,18,1.771587481,3,27C,0,1,18,3,27C3Abd18
C10,Abd,33.06,33.22,0.34,266,242,54.5,2.424881637,3,27C,0,1,19,3,27C3Abd19
D10,Abd,33.08,32.81,0.25,263,320,53.9,2.419955748,3,27C,0,1,20,3,27C3Abd20
C4,LW,36.97,36.94,0.73,111,121,52.6,2.045322979,3,27C,0,1,3,1,27C3LW3
A4,LW,33.05,33.1,0.51,267,269,93.3,2.426511261,3,27C,0,1,17,3,27C3LW17
B4,LW,33.94,33.64,0.26,143,178,30.8,2.155336037,3,27C,0,1,18,3,27C3LW18
C4,LW,33.64,33.82,0.16,176,156,17.7,2.245512668,3,27C,0,1,19,3,27C3LW19
D4,LW,33.73,33.61,0.35,166,184,47.4,2.220108088,3,27C,0,1,20,3,27C3LW20
A7,Sal,32.81,33.14,0.28,317,256,53.3,2.501059262,3,27C,0,1,17,3,27C3Sal17
B7,Sal,33.79,33.58,0.2,159,186,25.4,2.201397124,3,27C,0,1,18,3,27C3Sal18
C7,Sal,30.47,32.58,1.86,1657,673,853,3.219322508,3,27C,0,1,19,3,27C3Sal19
D7,Sal,33.37,33.09,0.25,214,264,43.8,2.330413773,3,27C,0,1,20,3,27C3Sal20
B7,Sal,31.88,31.73,0.13,802,888,75.9,2.904174368,3,30C,0,1,2,1,30C3Sal2
E7,Sal,35.66,36.23,0.59,92.4,67.1,24.5,1.965671971,3,30C,0,1,13,2,30C3Sal13
A10,Abd,36.55,36.76,0.23,13.1,11.3,1.88,1.117271296,3,33C,0,1,9,2,33C3Abd9
B10,Abd,37.6,36.9,0.67,6.05,11,5,0.781755375,3,33C,0,0,10,2,33C3Abd10
C10,Abd,36.18,37.04,1.71,17.2,13.3,9.85,1.235528447,3,33C,0,1,11,2,33C3Abd11
F10,Abd,36.98,36.91,0.09,9.56,10.1,0.655,0.980457892,3,33C,0,1,14,2,33C3Abd14
A10,Abd,35.98,36.24,0.23,24.4,20.5,3.58,1.387389826,3,33C,0,1,17,3,33C3Abd17
B10,Abd,37.61,36.45,1,7.48,20.1,11,0.873901598,3,33C,0,0,18,3,33C3Abd18
C10,Abd,36.45,36.25,0.42,17.4,20.8,6.82,1.240549248,3,33C,0,1,19,3,33C3Abd19
D10,Abd,35.12,35.62,0.49,45.9,33.1,11.8,1.661812686,3,33C,0,1,20,3,33C3Abd20
A4,LW,36.56,37.08,0.67,13,9.59,4.05,1.113943352,3,33C,0,1,9,2,33C3LW9
A4,LW,35.48,36.1,0.6,35.3,23.8,10.4,1.547774705,3,33C,0,1,17,3,33C3LW17
B4,LW,36.25,36.46,0.22,20,17.4,2.74,1.301029996,3,33C,0,1,18,3,33C3LW18
C4,LW,36.07,36.07,0.28,22.9,23.3,4.67,1.359835482,3,33C,0,1,19,3,33C3LW19
D4,LW,36.79,35.94,0.76,13.5,27.7,12.9,1.130333768,3,33C,0,1,20,3,33C3LW20
B7,Sal,34.09,37.03,2.75,79.7,29.3,43.7,1.901458321,3,33C,0,1,10,2,33C3Sal10
A7,Sal,36.79,36.5,0.75,13.6,18.6,10.8,1.133538908,3,33C,0,1,17,3,33C3Sal17
B7,Sal,35.89,36.07,0.4,26.2,23.5,6.21,1.418301291,3,33C,0,1,18,3,33C3Sal18
C7,Sal,35.58,35.82,0.21,32.8,27.6,4.5,1.515873844,3,33C,0,1,19,3,33C3Sal19
D7,Sal,35.9,36.31,0.4,25.9,19.7,5.75,1.413299764,3,33C,0,1,20,3,33C3Sal20
C10,Abd,36.61,36.92,0.28,90.2,74.8,13.8,1.873901598,7,27C,0,1,3,1,27C7Abd3
D10,Abd,35.87,36.24,0.32,145,116,24.8,2.064457989,7,27C,0,1,4,1,27C7Abd4
E10,Abd,34.09,35.42,1.17,454,236,189,2.372912003,7,27C,0,1,5,1,27C7Abd5
F10,Abd,35.15,36.02,1.03,230,150,83.5,2.176091259,7,27C,0,1,6,1,27C7Abd6
G10,Abd,35.46,35.69,0.25,189,164,25.8,2.214843848,7,27C,0,1,7,1,27C7Abd7
C10,Abd,36.61,36.92,0.28,90.2,74.8,13.8,1.873901598,7,27C,0,1,11,2,27C7Abd11
D10,Abd,35.87,36.24,0.32,145,116,24.8,2.064457989,7,27C,0,1,12,2,27C7Abd12
E10,Abd,34.09,35.42,1.17,454,236,189,2.372912003,7,27C,0,1,13,2,27C7Abd13
F10,Abd,35.15,36.02,1.03,230,150,83.5,2.176091259,7,27C,0,1,14,2,27C7Abd14
G10,Abd,35.46,35.69,0.25,189,164,25.8,2.214843848,7,27C,0,1,15,2,27C7Abd15
C10,Abd,36.61,36.92,0.28,90.2,74.8,13.8,1.873901598,7,27C,0,1,19,3,27C7Abd19
D10,Abd,35.87,36.24,0.32,145,116,24.8,2.064457989,7,27C,0,1,20,3,27C7Abd20
A4,LW,35.91,36.25,0.47,141,117,32.4,2.068185862,7,27C,0,1,1,1,27C7LW1
B4,LW,36.1,36.05,0.21,125,130,17.4,2.113943352,7,27C,0,1,2,1,27C7LW2
C4,LW,36.96,36.41,0.48,72,105,29.4,2.021189299,7,27C,0,1,3,1,27C7LW3
D4,LW,35.92,36.18,0.63,140,125,44.2,2.096910013,7,27C,0,1,4,1,27C7LW4
E4,LW,35.46,35.7,0.26,189,163,26.5,2.212187604,7,27C,0,1,5,1,27C7LW5
F4,LW,36.85,36.42,0.62,77,108,46,2.033423755,7,27C,0,1,6,1,27C7LW6
H4,LW,36.36,36.59,0.52,106,94.3,28.2,1.974511693,7,27C,0,1,8,1,27C7LW8
A4,LW,35.91,36.25,0.47,141,117,32.4,2.068185862,7,27C,0,1,9,2,27C7LW9
B4,LW,36.1,36.05,0.21,125,130,17.4,2.113943352,7,27C,0,1,10,2,27C7LW10
C4,LW,36.96,36.41,0.48,72,105,29.4,2.021189299,7,27C,0,1,11,2,27C7LW11
D4,LW,35.92,36.18,0.63,140,125,44.2,2.096910013,7,27C,0,1,12,2,27C7LW12
E4,LW,35.46,35.7,0.26,189,163,26.5,2.212187604,7,27C,0,1,13,2,27C7LW13
F4,LW,36.85,36.42,0.62,77,108,46,2.033423755,7,27C,0,1,14,2,27C7LW14
H7,LW,35.46,36.34,0.93,189,120,66,2.079181246,7,27C,0,1,16,2,27C7LW16
A4,LW,35.91,36.25,0.47,141,117,32.4,2.068185862,7,27C,0,1,17,3,27C7LW17
B4,LW,36.1,36.05,0.21,125,130,17.4,2.113943352,7,27C,0,1,18,3,27C7LW18
C4,LW,36.96,36.41,0.48,72,105,29.4,2.021189299,7,27C,0,1,19,3,27C7LW19
D4,LW,35.92,36.18,0.63,140,125,44.2,2.096910013,7,27C,0,1,20,3,27C7LW20
E7,Sal,35.76,36.39,0.88,155,114,52.9,2.056904851,7,27C,0,1,5,1,27C7Sal5
F7,Sal,35.23,35.96,0.63,218,145,63.6,2.161368002,7,27C,0,1,6,1,27C7Sal6
G7,Sal,36.36,35.71,0.62,106,169,63.9,2.227886705,7,27C,0,1,7,1,27C7Sal7
H7,Sal,35.46,36.34,0.93,189,120,66,2.079181246,7,27C,0,1,8,1,27C7Sal8
E7,Sal,35.76,36.39,0.88,155,114,52.9,2.056904851,7,27C,0,1,13,2,27C7Sal13
F7,Sal,35.23,35.96,0.63,218,145,63.6,2.161368002,7,27C,0,1,14,2,27C7Sal14
G7,Sal,36.36,35.71,0.62,106,169,63.9,2.227886705,7,27C,0,1,15,2,27C7Sal15
H4,Sal,36.36,36.59,0.52,106,94.3,28.2,1.974511693,7,27C,0,1,16,2,27C7Sal16
C10,Abd,36.61,36.92,0.28,90.2,74.8,13.8,1.873901598,7,30C,0,1,3,1,30C7Abd3
D10,Abd,35.87,36.24,0.32,145,116,24.8,2.064457989,7,30C,0,1,4,1,30C7Abd4
E10,Abd,34.09,35.42,1.17,454,236,189,2.372912003,7,30C,0,1,5,1,30C7Abd5
F10,Abd,35.15,36.02,1.03,230,150,83.5,2.176091259,7,30C,0,1,6,1,30C7Abd6
G10,Abd,35.46,35.69,0.25,189,164,25.8,2.214843848,7,30C,0,1,7,1,30C7Abd7
A10,Abd,32.87,32.85,0.11,497,506,37.6,2.704150517,7,30C,0,1,9,2,30C7Abd9
B10,Abd,30.94,26.63,7.32,1809,3050000,5270000,6.484299839,7,30C,0,1,10,2,30C7Abd10
C10,Abd,32.07,32.26,0.28,848,757,136,2.87909588,7,30C,0,1,11,2,30C7Abd11
D10,Abd,32.99,32.92,0.11,457,482,37.6,2.683047038,7,30C,0,1,12,2,30C7Abd12
E11,Abd,35.45,36.19,0.97,88.7,60.8,32,1.783903579,7,30C,0,1,13,2,30C7Abd13
F10,Abd,36.44,36.38,0.71,45.7,51.1,24.2,1.7084209,7,30C,0,1,14,2,30C7Abd14
G10,Abd,36.36,36.11,0.31,48.1,57.7,12.3,1.761175813,7,30C,0,1,15,2,30C7Abd15
A10,Abd,33.44,33.82,0.35,596,474,110,2.675778342,7,30C,0,1,17,3,30C7Abd17
B10,Abd,35.85,36.42,0.67,126,92,36,1.963787827,7,30C,0,1,18,3,30C7Abd18
C10,Abd,35.59,35.86,0.26,149,126,21.1,2.100370545,7,30C,0,1,19,3,30C7Abd19
D10,Abd,36.26,36.87,1.32,96.3,78.9,48.2,1.897077003,7,30C,0,1,20,3,30C7Abd20
A4,LW,35.91,36.25,0.47,141,117,32.4,2.068185862,7,30C,0,1,1,1,30C7LW1
B4,LW,36.1,36.05,0.21,125,130,17.4,2.113943352,7,30C,0,1,2,1,30C7LW2
C4,LW,36.96,36.41,0.48,72,105,29.4,2.021189299,7,30C,0,1,3,1,30C7LW3
D4,LW,35.92,36.18,0.63,140,125,44.2,2.096910013,7,30C,0,1,4,1,30C7LW4
E4,LW,35.46,35.7,0.26,189,163,26.5,2.212187604,7,30C,0,1,5,1,30C7LW5
F4,LW,36.85,36.42,0.62,77,108,46,2.033423755,7,30C,0,1,6,1,30C7LW6
H4,LW,36.36,36.59,0.52,106,94.3,28.2,1.974511693,7,30C,0,1,8,1,30C7LW8
A4,LW,30.67,30.73,0.06,2169,2080,83.6,3.318063335,7,30C,0,1,9,2,30C7LW9
B4,LW,33.41,33.37,0.06,345,355,14.3,2.550228353,7,30C,0,1,10,2,30C7LW10
C4,LW,28.56,28.52,0.04,8851,9138,262,3.960851154,7,30C,0,1,11,2,30C7LW11
D4,LW,30.23,30.24,0.08,2905,2887,151,3.460446784,7,30C,0,1,12,2,30C7LW12
F4,LW,36.94,36.24,0.67,32.7,55.5,23.4,1.744292983,7,30C,0,1,14,2,30C7LW14
G4,LW,36.72,36.64,0.89,38,44.9,26.5,1.652246341,7,30C,0,1,15,2,30C7LW15
B4,LW,37,36.91,0.21,59.7,63.7,8.89,1.804139432,7,30C,0,1,18,3,30C7LW18
C4,LW,36.96,36.06,0.98,61.3,125,79.8,2.096910013,7,30C,0,1,19,3,30C7LW19
D4,LW,36.63,36.74,0.13,75.7,71,5.73,1.851258349,7,30C,0,1,20,3,30C7LW20
E7,Sal,35.76,36.39,0.88,155,114,52.9,2.056904851,7,30C,0,1,5,1,30C7Sal5
F7,Sal,35.23,35.96,0.63,218,145,63.6,2.161368002,7,30C,0,1,6,1,30C7Sal6
G7,Sal,36.36,35.71,0.62,106,169,63.9,2.227886705,7,30C,0,1,7,1,30C7Sal7
H7,Sal,35.46,36.34,0.93,189,120,66,2.079181246,7,30C,0,1,8,1,30C7Sal8
C8,Sal,35.55,36.6,1.08,82.5,48.2,31.9,1.683047038,7,30C,0,1,11,2,30C7Sal11
E7,Sal,37.01,36.91,0.61,31.1,35.3,14.6,1.547774705,7,30C,0,1,13,2,30C7Sal13
H4,Sal,34.91,34.96,0.04,127,123,3.65,2.089905111,7,30C,0,1,16,2,30C7Sal16
B11,Abd,24.3,33.9,8.36,415000,138000,239000,5.139879086,14,27C,0,1,2,1,27C14Abd2
C10,Abd,35.96,35.77,0.22,193,220,31.8,2.342422681,14,27C,0,1,3,1,27C14Abd3
E10,Abd,36.78,36.31,0.42,112,156,39.9,2.193124598,14,27C,0,1,5,1,27C14Abd5
G11,Abd,36.93,37.03,0.46,102,98.1,27.7,1.991669007,14,27C,0,1,7,1,27C14Abd7
A10,Abd,36.19,36.43,0.28,98.7,85.4,15.3,1.931457871,14,27C,0,1,9,2,27C14Abd9
C10,Abd,34.2,35.34,1.05,380,208,151,2.318063335,14,27C,0,1,11,2,27C14Abd11
E10,Abd,33.97,34.08,0.22,442,413,59.7,2.615950052,14,27C,0,1,13,2,27C14Abd13
F10,Abd,35.97,36.66,1.07,115,83.3,45.4,1.920645001,14,27C,0,1,14,2,27C14Abd14
A4,LW,33.89,29.75,7.74,755,1360000,2360000,6.133538908,14,27C,0,1,1,1,27C14LW1
D4,LW,35.97,35.78,0.24,192,219,34.9,2.340444115,14,27C,0,1,4,1,27C14LW4
F4,LW,34.65,34.88,0.2,457,396,53.5,2.597695186,14,27C,0,1,6,1,27C14LW6
G4,LW,34.2,34.98,0.83,614,404,204,2.606381365,14,27C,0,1,7,1,27C14LW7
A4,LW,34.05,33.79,0.3,418,507,106,2.705007959,14,27C,0,1,9,2,27C14LW9
C4,LW,36.3,36.62,0.5,92.3,76.6,23.1,1.88422877,14,27C,0,1,11,2,27C14LW11
D4,LW,35.17,36,0.92,197,127,69.4,2.103803721,14,27C,0,1,12,2,27C14LW12
F7,Sal,36.84,37.13,0.34,108,90.5,19.3,1.956648579,14,27C,0,1,6,1,27C14Sal6
H7,Sal,35.97,36.12,0.48,191,179,52.6,2.252853031,14,27C,0,1,8,1,27C14Sal8
B7,Sal,36.77,37.09,0.91,66.8,60.2,30.4,1.779596491,14,27C,0,1,10,2,27C14Sal10
B10,Abd,36.46,37.13,1.81,48.8,45.3,36.1,1.656098202,14,30C,0,1,2,1,30C14Abd2
E10,Abd,35.54,35.37,0.54,91.3,108,41.8,2.033423755,14,30C,0,1,5,1,30C14Abd5
F10,Abd,35.13,35.33,0.59,121,111,39.5,2.045322979,14,30C,0,1,6,1,30C14Abd6
G10,Abd,35.54,35.39,0.14,91.7,102,9.86,2.008600172,14,30C,0,1,7,1,30C14Abd7
D10,Abd,33.08,35.98,2.64,627,241,335,2.382017043,14,30C,0,1,12,2,30C14Abd12
B4,LW,34.4,34.12,0.25,200,244,39.7,2.387389826,14,30C,0,1,2,1,30C14LW2
F4,LW,36.62,36.52,0.24,43.8,47.4,8.09,1.675778342,14,30C,0,1,6,1,30C14LW6
G4,LW,36.83,36.63,0.17,37.9,43.6,5,1.639486489,14,30C,0,1,7,1,30C14LW7
H4,LW,36.8,36.65,0.52,38.6,44.7,16.5,1.650307523,14,30C,0,1,8,1,30C14LW8
G5,LW,33.45,36.32,4.06,498,256,342,2.408239965,14,33C,0,1,3,2,33C14LW3
G7,Sal,28.23,28.27,0.15,12510,12250,1138,4.088136089,14,33C,0,1,3,2,33C14Sal3
A10,Abd,0,0,0,0,0,0,0,3,27C,0,0,1,1,27C3Abd1
C10,Abd,0,0,0,0,0,0,0,3,27C,0,0,3,1,27C3Abd3
D10,Abd,0,0,0,0,0,0,0,3,27C,0,0,4,1,27C3Abd4
E10,Abd,39.12,39.11,0.01,30.6,30.8,0.253,1.485721426,3,27C,0,0,5,1,27C3Abd5
F10,Abd,0,0,0,0,0,0,0,3,27C,0,0,6,1,27C3Abd6
G10,Abd,0,0,0,0,0,0,0,3,27C,0,0,7,1,27C3Abd7
A10,Abd,0,0,0,0,0,0,0,3,27C,0,0,9,2,27C3Abd9
B10,Abd,0,0,0,0,0,0,0,3,27C,0,0,10,2,27C3Abd10
C10,Abd,44.95,0,0,0.966,0,0,-0.015022874,3,27C,0,0,11,2,27C3Abd11
D10,Abd,39.18,0,0,30.2,0,0,1.480006943,3,27C,0,0,12,2,27C3Abd12
E10,Abd,0,0,0,0,0,0,0,3,27C,0,0,13,2,27C3Abd13
F10,Abd,0,0,0,0,0,0,0,3,27C,0,0,14,2,27C3Abd14
G10,Abd,0,0,0,0,0,0,0,3,27C,0,0,15,2,27C3Abd15
H10,Abd,0,0,0,0,0,0,0,3,27C,0,0,16,2,27C3Abd16
A4,LW,0,0,0,0,0,0,0,3,27C,0,0,1,1,27C3LW1
B4,LW,0,0,0,0,0,0,0,3,27C,0,0,2,1,27C3LW2
D4,LW,0,0,0,0,0,0,0,3,27C,0,0,4,1,27C3LW4
E4,LW,0,0,0,0,0,0,0,3,27C,0,0,5,1,27C3LW5
F4,LW,0,0,0,0,0,0,0,3,27C,0,0,6,1,27C3LW6
G4,LW,0,0,0,0,0,0,0,3,27C,0,0,7,1,27C3LW7
H4,LW,0,0,0,0,0,0,0,3,27C,0,0,8,1,27C3LW8
A4,LW,38.47,37.73,0.94,46.2,79.7,47.4,1.664641976,3,27C,0,0,9,2,27C3LW9
B4,LW,0,0,0,0,0,0,0,3,27C,0,0,10,2,27C3LW10
C4,LW,0,0,0,0,0,0,0,3,27C,0,0,11,2,27C3LW11
D4,LW,0,0,0,0,0,0,0,3,27C,0,0,12,2,27C3LW12
E4,LW,0,0,0,0,0,0,0,3,27C,0,0,13,2,27C3LW13
F4,LW,0,0,0,0,0,0,0,3,27C,0,0,14,2,27C3LW14
G4,LW,0,0,0,0,0,0,0,3,27C,0,0,15,2,27C3LW15
H7,LW,0,0,0,0,0,0,0,3,27C,0,0,16,2,27C3LW16
A7,Sal,36.03,37.49,2.07,196,115,115,2.292256071,3,27C,0,0,1,1,27C3Sal1
B7,Sal,38.45,0,0,45.8,0,0,1.660865478,3,27C,0,0,2,1,27C3Sal2
C7,Sal,0,0,0,0,0,0,0,3,27C,0,0,3,1,27C3Sal3
D7,Sal,0,0,0,0,0,0,0,3,27C,0,0,4,1,27C3Sal4
E7,Sal,38.49,0,0,44.7,0,0,1.650307523,3,27C,0,0,5,1,27C3Sal5
F7,Sal,39.72,0,0,21.3,0,0,1.328379603,3,27C,0,0,6,1,27C3Sal6
G7,Sal,39.01,38.73,0.87,32.8,42.4,23.4,1.515873844,3,27C,0,0,7,1,27C3Sal7
H7,Sal,0,0,0,0,0,0,0,3,27C,0,0,8,1,27C3Sal8
A7,Sal,0,0,0,0,0,0,0,3,27C,0,0,9,2,27C3Sal9
B7,Sal,0,0,0,0,0,0,0,3,27C,0,0,10,2,27C3Sal10
C7,Sal,0,0,0,0,0,0,0,3,27C,0,0,11,2,27C3Sal11
D7,Sal,0,0,0,0,0,0,0,3,27C,0,0,12,2,27C3Sal12
E7,Sal,0,0,0,0,0,0,0,3,27C,0,0,13,2,27C3Sal13
F7,Sal,0,0,0,0,0,0,0,3,27C,0,0,14,2,27C3Sal14
G7,Sal,0,0,0,0,0,0,0,3,27C,0,0,15,2,27C3Sal15
H4,Sal,0,0,0,0,0,0,0,3,27C,0,0,16,2,27C3Sal16
A10,Abd,0,0,0,0,0,0,0,3,30C,0,0,1,1,30C3Abd1
B10,Abd,38.78,38.51,0.56,9.19,11.5,4.44,0.963315511,3,30C,0,0,2,1,30C3Abd2
C10,Abd,0,0,0,0,0,0,0,3,30C,0,0,3,1,30C3Abd3
D10,Abd,0,0,0,0,0,0,0,3,30C,0,0,4,1,30C3Abd4
E10,Abd,0,0,0,0,0,0,0,3,30C,0,0,5,1,30C3Abd5
F10,Abd,0,0,0,0,0,0,0,3,30C,0,0,6,1,30C3Abd6
G10,Abd,0,0,0,0,0,0,0,3,30C,0,0,7,1,30C3Abd7
H10,Abd,0,0,0,0,0,0,0,3,30C,0,0,8,1,30C3Abd8
A10,Abd,0,0,0,0,0,0,0,3,30C,0,0,9,2,30C3Abd9
B10,Abd,0,0,0,0,0,0,0,3,30C,0,0,10,2,30C3Abd10
C10,Abd,0,0,0,0,0,0,0,3,30C,0,0,11,2,30C3Abd11
D10,Abd,0,0,0,0,0,0,0,3,30C,0,0,12,2,30C3Abd12
