well,tissue,cq,cq_mean,cq_stdev,sq,sq_mean,sq_stdev,logSQ,day,temp,titer,positive,organism_num,plate,name
E10,Abd,0,0,0,0,0,0,0,3,30C,0,0,13,2,30C3Abd13
F10,Abd,0,0,0,0,0,0,0,3,30C,0,0,14,2,30C3Abd14
G10,Abd,0,0,0,0,0,0,0,3,30C,0,0,15,2,30C3Abd15
H10,Abd,0,0,0,0,0,0,0,3,30C,0,0,16,2,30C3Abd16
A10,Abd,0,0,0,0,0,0,0,3,30C,0,0,17,3,30C3Abd17
B10,Abd,0,0,0,0,0,0,0,3,30C,0,0,18,3,30C3Abd18
C10,Abd,0,0,0,0,0,0,0,3,30C,0,0,19,3,30C3Abd19
D10,Abd,0,0,0,0,0,0,0,3,30C,0,0,20,3,30C3Abd20
A4,LW,0,0,0,0,0,0,0,3,30C,0,0,1,1,30C3LW1
B4,LW,0,0,0,0,0,0,0,3,30C,0,0,2,1,30C3LW2
C4,LW,0,0,0,0,0,0,0,3,30C,0,0,3,1,30C3LW3
D4,LW,0,0,0,0,0,0,0,3,30C,0,0,4,1,30C3LW4
E4,LW,0,0,0,0,0,0,0,3,30C,0,0,5,1,30C3LW5
F4,LW,0,0,0,0,0,0,0,3,30C,0,0,6,1,30C3LW6
G4,LW,0,0,0,0,0,0,0,3,30C,0,0,7,1,30C3LW7
H4,LW,0,0,0,0,0,0,0,3,30C,0,0,8,1,30C3LW8
A4,LW,0,0,0,0,0,0,0,3,30C,0,0,9,2,30C3LW9
B4,LW,0,0,0,0,0,0,0,3,30C,0,0,10,2,30C3LW10
C4,LW,0,0,0,0,0,0,0,3,30C,0,0,11,2,30C3LW11
D4,LW,0,0,0,0,0,0,0,3,30C,0,0,12,2,30C3LW12
E4,LW,0,0,0,0,0,0,0,3,30C,0,0,13,2,30C3LW13
F4,LW,0,0,0,0,0,0,0,3,30C,0,0,14,2,30C3LW14
G4,LW,0,0,0,0,0,0,0,3,30C,0,0,15,2,30C3LW15
H7,LW,0,0,0,0,0,0,0,3,30C,0,0,16,2,30C3LW16
A4,LW,0,0,0,0,0,0,0,3,30C,0,0,17,3,30C3LW17
B4,LW,38.88,0,0,20.3,0,0,1.307496038,3,30C,0,0,18,3,30C3LW18
C4,LW,0,0,0,0,0,0,0,3,30C,0,0,19,3,30C3LW19
D4,LW,0,0,0,0,0,0,0,3,30C,0,0,20,3,30C3LW20
A7,Sal,0,0,0,0,0,0,0,3,30C,0,0,1,1,30C3Sal1
C7,Sal,34.34,0,0,163,0,0,2.212187604,3,30C,0,0,3,1,30C3Sal3
D7,Sal,38.85,0,0,8.78,0,0,0.943494516,3,30C,0,0,4,1,30C3Sal4
E7,Sal,0,37.63,0.05,0,19.4,0.606,0,3,30C,0,0,5,1,30C3Sal5
F7,Sal,0,38.52,0.9,0,11.8,6.49,0,3,30C,0,0,6,1,30C3Sal6
G7,Sal,0,0,0,0,0,0,0,3,30C,0,0,7,1,30C3Sal7
H7,Sal,38.89,38.85,0.22,8.57,8.84,1.31,0.932980822,3,30C,0,0,8,1,30C3Sal8
A7,Sal,0,0,0,0,0,0,0,3,30C,0,0,9,2,30C3Sal9
B7,Sal,38.74,0,0,12.7,0,0,1.103803721,3,30C,0,0,10,2,30C3Sal10
C7,Sal,0,0,0,0,0,0,0,3,30C,0,0,11,2,30C3Sal11
D7,Sal,0,0,0,0,0,0,0,3,30C,0,0,12,2,30C3Sal12
F7,Sal,0,0,0,0,0,0,0,3,30C,0,0,14,2,30C3Sal14
G7,Sal,0,0,0,0,0,0,0,3,30C,0,0,15,2,30C3Sal15
H4,Sal,0,0,0,0,0,0,0,3,30C,0,0,16,2,30C3Sal16
A7,Sal,0,0,0,0,0,0,0,3,30C,0,0,17,3,30C3Sal17
B7,Sal,0,0,0,0,0,0,0,3,30C,0,0,18,3,30C3Sal18
C7,Sal,0,0,0,0,0,0,0,3,30C,0,0,19,3,30C3Sal19
D7,Sal,0,0,0,0,0,0,0,3,30C,0,0,20,3,30C3Sal20
A10,Abd,37.93,37.83,0.32,36.5,39.4,8.23,1.562292864,3,33C,0,0,1,1,33C3Abd1
B10,Abd,38.64,38.97,0.46,23.4,19.5,5.54,1.369215857,3,33C,0,0,2,1,33C3Abd2
C10,Abd,37.73,37.76,0.04,41.3,40.6,1.08,1.615950052,3,33C,0,0,3,1,33C3Abd3
D10,Abd,39.39,38.27,1.59,14.6,37.2,32,1.164352856,3,33C,0,0,4,1,33C3Abd4
E10,Abd,37.07,38.06,1.39,62.6,40.4,31.4,1.796574333,3,33C,0,0,5,1,33C3Abd5
F10,Abd,38.54,38.11,0.6,25,33.8,12.5,1.397940009,3,33C,0,0,6,1,33C3Abd6
G10,Abd,0,38.73,0.12,0,22.2,1.64,0,3,33C,0,0,7,1,33C3Abd7
H10,Abd,38.8,40.16,2.53,21.1,15.6,12.3,1.324282455,3,33C,0,0,8,1,33C3Abd8
D10,Abd,38.54,38.08,1.52,3.05,6.54,7.23,0.484299839,3,33C,0,0,12,2,33C3Abd12
E10,Abd,38.6,37.95,0.57,2.91,4.95,1.81,0.463892989,3,33C,0,0,13,2,33C3Abd13
G10,Abd,37.18,37.4,0.87,8.28,7.9,4.26,0.918030337,3,33C,0,0,15,2,33C3Abd15
H10,Abd,37.4,37.54,0.12,7.01,6.37,0.554,0.845718018,3,33C,0,0,16,2,33C3Abd16
A4,LW,43.99,0,0,0.819,0,0,-0.086716098,3,33C,0,0,1,1,33C3LW1
B4,LW,0,0,0,0,0,0,0,3,33C,0,0,2,1,33C3LW2
C4,LW,0,0,0,0,0,0,0,3,33C,0,0,3,1,33C3LW3
D4,LW,0,39.13,0.39,0,17.5,4.18,0,3,33C,0,0,4,1,33C3LW4
E4,LW,0,0,0,0,0,0,0,3,33C,0,0,5,1,33C3LW5
F4,LW,0,38.84,0.15,0,20.7,1.95,0,3,33C,0,0,6,1,33C3LW6
G4,LW,0,0,0,0,0,0,0,3,33C,0,0,7,1,33C3LW7
H4,LW,0,0,0,0,0,0,0,3,33C,0,0,8,1,33C3LW8
B4,LW,38.2,38.31,1.02,3.91,4.28,2.84,0.592176757,3,33C,0,0,10,2,33C3LW10
C4,LW,38.38,38.72,0.75,3.43,2.91,1.31,0.53529412,3,33C,0,0,11,2,33C3LW11
D4,LW,0,40.73,1.55,0,0.82,0.771,0,3,33C,0,0,12,2,33C3LW12
E4,LW,39.59,38.88,1.01,1.41,2.71,1.85,0.149219113,3,33C,0,0,13,2,33C3LW13
F4,LW,39.13,39.37,0.34,1.98,1.68,0.416,0.29666519,3,33C,0,0,14,2,33C3LW14
G4,LW,0,0,0,0,0,0,0,3,33C,0,0,15,2,33C3LW15
H7,LW,36.77,37.54,1,11.2,7.39,4.26,1.049218023,3,33C,0,0,16,2,33C3LW16
A7,Sal,0,0,0,0,0,0,0,3,33C,0,0,1,1,33C3Sal1
B7,Sal,0,0,0,0,0,0,0,3,33C,0,0,2,1,33C3Sal2
C7,Sal,0,0,0,0,0,0,0,3,33C,0,0,3,1,33C3Sal3
D7,Sal,0,0,0,0,0,0,0,3,33C,0,0,4,1,33C3Sal4
E7,Sal,0,0,0,0,0,0,0,3,33C,0,0,5,1,33C3Sal5
F7,Sal,38.82,0,0,20.9,0,0,1.320146286,3,33C,0,0,6,1,33C3Sal6
G7,Sal,0,0,0,0,0,0,0,3,33C,0,0,7,1,33C3Sal7
H7,Sal,0,0,0,0,0,0,0,3,33C,0,0,8,1,33C3Sal8
A7,Sal,38.75,38.08,0.96,2.61,5.09,3.89,0.416640507,3,33C,0,0,9,2,33C3Sal9
C7,Sal,39.52,38,1.42,1.49,6.16,5.12,0.173186268,3,33C,0,0,11,2,33C3Sal11
D7,Sal,39.4,38.14,1.42,1.61,5.85,5.92,0.206825876,3,33C,0,0,12,2,33C3Sal12
E7,Sal,39.83,38.48,1.17,1.18,3.87,2.32,0.071882007,3,33C,0,0,13,2,33C3Sal13
F7,Sal,0,0,0,0,0,0,0,3,33C,0,0,14,2,33C3Sal14
G7,Sal,38.55,38.58,0.75,3.01,3.25,1.7,0.478566496,3,33C,0,0,15,2,33C3Sal15
H4,Sal,39.44,39.04,0.56,1.57,2.19,0.876,0.195899652,3,33C,0,0,16,2,33C3Sal16
A10,Abd,36.1,0,0,125,0,0,0,7,27C,0,0,1,1,27C7Abd1
B10,Abd,36.02,38.04,4.66,132,144,149,2.158362492,7,27C,0,0,2,1,27C7Abd2
H10,Abd,35.93,28.28,13.29,139,121000000,210000000,8.08278537,7,27C,0,0,8,1,27C7Abd8
A10,Abd,36.1,0,0,125,0,0,0,7,27C,0,0,9,2,27C7Abd9
B10,Abd,36.02,38.04,4.66,132,144,149,2.158362492,7,27C,0,0,10,2,27C7Abd10
H10,Abd,35.93,28.28,13.29,139,121000000,210000000,8.08278537,7,27C,0,0,16,2,27C7Abd16
A10,Abd,36.1,0,0,125,0,0,0,7,27C,0,0,17,3,27C7Abd17
B10,Abd,36.02,38.04,4.66,132,144,149,2.158362492,7,27C,0,0,18,3,27C7Abd18
G5,LW,36.72,37.55,1.04,84.2,56.3,30.7,1.750508395,7,27C,0,0,7,1,27C7LW7
G5,LW,36.72,37.55,1.04,84.2,56.3,30.7,1.750508395,7,27C,0,0,15,2,27C7LW15
A8,Sal,36.44,38.24,1.96,100,48.9,47.1,1.689308859,7,27C,0,0,1,1,27C7Sal1
B7,Sal,43.8,40.16,3.21,0.887,21.6,21.5,1.334453751,7,27C,0,0,2,1,27C7Sal2
C7,Sal,38.26,38.41,0.91,31.3,31.4,16.4,1.496929648,7,27C,0,0,3,1,27C7Sal3
D7,Sal,36.68,38.64,1.89,86.4,38.7,42,1.587710965,7,27C,0,0,4,1,27C7Sal4
A8,Sal,36.44,38.24,1.96,100,48.9,47.1,1.689308859,7,27C,0,0,9,2,27C7Sal9
B7,Sal,43.8,40.16,3.21,0.887,21.6,21.5,1.334453751,7,27C,0,0,10,2,27C7Sal10
C7,Sal,38.26,38.41,0.91,31.3,31.4,16.4,1.496929648,7,27C,0,0,11,2,27C7Sal11
D7,Sal,36.68,38.64,1.89,86.4,38.7,42,1.587710965,7,27C,0,0,12,2,27C7Sal12
A8,Sal,36.44,38.24,1.96,100,48.9,47.1,1.689308859,7,27C,0,0,17,3,27C7Sal17
B7,Sal,43.8,40.16,3.21,0.887,21.6,21.5,1.334453751,7,27C,0,0,18,3,27C7Sal18
C7,Sal,38.26,38.41,0.91,31.3,31.4,16.4,1.496929648,7,27C,0,0,19,3,27C7Sal19
D7,Sal,36.68,38.64,1.89,86.4,38.7,42,1.587710965,7,27C,0,0,20,3,27C7Sal20
A10,Abd,36.1,0,0,125,0,0,0,7,30C,0,0,1,1,30C7Abd1
B10,Abd,36.02,38.04,4.66,132,144,149,2.158362492,7,30C,0,0,2,1,30C7Abd2
H10,Abd,35.93,28.28,13.29,139,121000000,210000000,8.08278537,7,30C,0,0,8,1,30C7Abd8
H10,Abd,37.6,38.45,1.87,21,17.4,13.2,1.240549248,7,30C,0,0,16,2,30C7Abd16
G5,LW,36.72,37.55,1.04,84.2,56.3,30.7,1.750508395,7,30C,0,0,7,1,30C7LW7
E5,LW,36.35,37.21,0.89,48.4,30.5,16.9,1.484299839,7,30C,0,0,13,2,30C7LW13
H7,LW,43.62,40.45,2.78,0.374,6.37,5.73,0.804139432,7,30C,0,0,16,2,30C7LW16
A5,LW,36.8,37.81,0.97,68.2,40.4,25,1.606381365,7,30C,0,0,17,3,30C7LW17
A8,Sal,36.44,38.24,1.96,100,48.9,47.1,1.689308859,7,30C,0,0,1,1,30C7Sal1
B7,Sal,43.8,40.16,3.21,0.887,21.6,21.5,1.334453751,7,30C,0,0,2,1,30C7Sal2
C7,Sal,38.26,38.41,0.91,31.3,31.4,16.4,1.496929648,7,30C,0,0,3,1,30C7Sal3
D7,Sal,36.68,38.64,1.89,86.4,38.7,42,1.587710965,7,30C,0,0,4,1,30C7Sal4
A7,Sal,39.24,40.68,1.97,7.02,4.07,3.24,0.609594409,7,30C,0,0,9,2,30C7Sal9
B7,Sal,38.24,37.93,0.39,13.7,17.3,4.67,1.238046103,7,30C,0,0,10,2,30C7Sal10
D7,Sal,37.78,37.62,0.31,18.6,21.1,4.62,1.324282455,7,30C,0,0,12,2,30C7Sal12
F7,Sal,0,0,0,0,0,0,0,7,30C,0,0,14,2,30C7Sal14
G8,Sal,36.77,37.27,1.57,36.6,35.1,26.4,1.545307116,7,30C,0,0,15,2,30C7Sal15
A7,Sal,37.18,37.74,0.49,53.2,38.5,13,1.58546073,7,30C,0,0,17,3,30C7Sal17
B8,Sal,37.04,37.26,0.19,58.2,50.7,6.52,1.705007959,7,30C,0,0,18,3,30C7Sal18
C7,Sal,38.81,38.11,0.76,18.6,31.7,15.9,1.501059262,7,30C,0,0,19,3,30C7Sal19
D8,Sal,36.33,37.74,1.57,92,49.7,40.1,1.696356389,7,30C,0,0,20,3,30C7Sal20
A10,Abd,0,0,0,0,0,0,0,7,33C,0,0,1,1,33C7Abd1
B10,Abd,0,0,0,0,0,0,0,7,33C,0,0,2,1,33C7Abd2
C10,Abd,0,0,0,0,0,0,0,7,33C,0,0,3,1,33C7Abd3
D10,Abd,0,0,0,0,0,0,0,7,33C,0,0,4,1,33C7Abd4
E10,Abd,0,0,0,0,0,0,0,7,33C,0,0,5,1,33C7Abd5
F10,Abd,0,0,0,0,0,0,0,7,33C,0,0,6,1,33C7Abd6
G10,Abd,0,0,0,0,0,0,0,7,33C,0,0,7,1,33C7Abd7
H10,Abd,0,0,0,0,0,0,0,7,33C,0,0,8,1,33C7Abd8
A10,Abd,0,0,0,0,0,0,0,7,33C,0,0,9,2,33C7Abd9
B10,Abd,0,0,0,0,0,0,0,7,33C,0,0,10,2,33C7Abd10
A4,LW,0,0,0,0,0,0,0,7,33C,0,0,1,1,33C7LW1
B5,LW,0,40.65,1.6,0,7.01,6.28,0.845718018,7,33C,0,0,2,1,33C7LW2
C4,LW,0,0,0,0,0,0,0,7,33C,0,0,3,1,33C7LW3
D4,LW,0,0,0,0,0,0,0,7,33C,0,0,4,1,33C7LW4
E4,LW,0,0,0,0,0,0,0,7,33C,0,0,5,1,33C7LW5
F4,LW,39.66,38.94,0.91,10.4,18.9,12.1,1.276461804,7,33C,0,0,6,1,33C7LW6
G4,LW,0,40.01,1.03,0,9.2,5.79,0.963787827,7,33C,0,0,7,1,33C7LW7
H4,LW,0,0,0,0,0,0,0,7,33C,0,0,8,1,33C7LW8
A5,LW,0,39.18,0.53,0,21,7.25,1.322219295,7,33C,0,0,9,2,33C7LW9
B4,LW,0,0,0,0,0,0,0,7,33C,0,0,10,2,33C7LW10
A7,Sal,0,0,0,0,0,0,0,7,33C,0,0,1,1,33C7Sal1
B7,Sal,0,0,0,0,0,0,0,7,33C,0,0,2,1,33C7Sal2
C7,Sal,0,38.96,0.61,0,17.2,6.69,1.235528447,7,33C,0,0,3,1,33C7Sal3
D7,Sal,0,0,0,0,0,0,0,7,33C,0,0,4,1,33C7Sal4
E7,Sal,0,0,0,0,0,0,0,7,33C,0,0,5,1,33C7Sal5
F7,Sal,0,0,0,0,0,0,0,7,33C,0,0,6,1,33C7Sal6
G7,Sal,0,0,0,0,0,0,0,7,33C,0,0,7,1,33C7Sal7
H7,Sal,0,0,0,0,0,0,0,7,33C,0,0,8,1,33C7Sal8
A9,Sal,0,39.68,0.11,0,14.6,1.06,1.164352856,7,33C,0,0,9,2,33C7Sal9
B7,Sal,41.06,39.95,0.96,5.89,13.8,6.84,1.139879086,7,33C,0,0,10,2,33C7Sal10
A11,Abd,36.67,37.68,1.55,121,81,54.3,1.908485019,14,27C,0,0,1,1,27C14Abd1
D10,Abd,0,0,0,0,0,0,0,14,27C,0,0,4,1,27C14Abd4
F11,Abd,0,39.03,0.34,0,25.9,5.78,1.413299764,14,27C,0,0,6,1,27C14Abd6
H11,Abd,36.61,37.22,0.86,125,90.9,48.8,1.958563883,14,27C,0,0,8,1,27C14Abd8
B12,Abd,36.7,37.65,0.85,70.3,41.4,25.2,1.617000341,14,27C,0,0,10,2,27C14Abd10
D10,Abd,37.11,37.48,0.52,53.4,43,13.5,1.633468456,14,27C,0,0,12,2,27C14Abd12
B4,LW,0,39.73,0.25,0,16.3,2.63,1.212187604,14,27C,0,0,2,1,27C14LW2
C4,LW,36.59,37.4,1.83,127,107,79.7,2.029383778,14,27C,0,0,3,1,27C14LW3
E5,LW,37.07,37.37,0.85,93,83.8,39.5,1.923244019,14,27C,0,0,5,1,27C14LW5
H4,LW,38.12,0,0,46.6,0,0,0,14,27C,0,0,8,1,27C14LW8
B4,LW,37.19,37.66,0.56,50.6,38.5,13.3,1.58546073,14,27C,0,0,10,2,27C14LW10
E4,LW,37.05,37.29,0.35,55.7,47.8,11.2,1.679427897,14,27C,0,0,13,2,27C14LW13
F4,LW,37.79,38.32,0.57,33.6,24.8,8.94,1.394451681,14,27C,0,0,14,2,27C14LW14
A7,Sal,0,0,0,0,0,0,0,14,27C,0,0,1,1,27C14Sal1
B7,Sal,36.39,37.31,1.06,146,91.8,54.2,1.962842681,14,27C,0,0,2,1,27C14Sal2
C7,Sal,0,0,0,0,0,0,0,14,27C,0,0,3,1,27C14Sal3
D7,Sal,39.8,39,1.14,15.5,31.9,25.9,1.503790683,14,27C,0,0,4,1,27C14Sal4
E7,Sal,0,0,0,0,0,0,0,14,27C,0,0,5,1,27C14Sal5
G7,Sal,37.77,0,0,58.7,0,0,0,14,27C,0,0,7,1,27C14Sal7
A7,Sal,39.4,0,0,11.4,0,0,0,14,27C,0,0,9,2,27C14Sal9
C7,Sal,0,39.12,0.19,0,13.8,1.74,1.139879086,14,27C,0,0,11,2,27C14Sal11
D7,Sal,0,39.15,0.03,0,13.5,0.253,1.130333768,14,27C,0,0,12,2,27C14Sal12
E8,Sal,0,39.32,0.01,0,12,0.12,1.079181246,14,27C,0,0,13,2,27C14Sal13
F7,Sal,0,38.34,0.17,0,23.4,2.65,1.369215857,14,27C,0,0,14,2,27C14Sal14
A10,Abd,37.8,37.61,0.18,19.5,22.4,2.69,1.350248018,14,30C,0,0,1,1,30C14Abd1
C10,Abd,37.26,38.01,1.31,28.3,20.9,12.9,1.320146286,14,30C,0,0,3,1,30C14Abd3
D12,Abd,36.86,37.31,0.43,37.3,28.1,8.4,1.44870632,14,30C,0,0,4,1,30C14Abd4
H11,Abd,36.76,37.3,1.67,39.7,38.7,30.5,1.587710965,14,30C,0,0,8,1,30C14Abd8
A11,Abd,36.89,37.57,1.18,59.2,45.1,24.5,1.654176542,14,30C,0,0,9,2,30C14Abd9
B10,Abd,36.75,37.24,0.43,64.9,49,13.8,1.69019608,14,30C,0,0,10,2,30C14Abd10
C10,Abd,38.05,38.74,0.59,28.9,19.9,7.85,1.298853076,14,30C,0,0,11,2,30C14Abd11
A5,LW,36.92,37.58,0.58,35.8,24,10.2,1.380211242,14,30C,0,0,1,1,30C14LW1
C4,LW,38.62,37.77,0.74,11.2,21.5,9.06,1.33243846,14,30C,0,0,3,1,30C14LW3
D4,LW,37.08,37.48,0.73,32,26.2,10.9,1.418301291,14,30C,0,0,4,1,30C14LW4
E4,LW,37.54,38.01,1.12,23.4,19.9,11.5,1.298853076,14,30C,0,0,5,1,30C14LW5
A4,LW,39.19,38.95,0.45,14.3,17,5.02,1.230448921,14,30C,0,0,9,2,30C14LW9
B5,LW,0,39.43,0.59,0,12.7,4.52,1.103803721,14,30C,0,0,10,2,30C14LW10
C6,LW,36.87,39.22,3.05,60.1,29.8,29.3,1.474216264,14,30C,0,0,11,2,30C14LW11
D4,LW,36.32,38.01,1.6,84.5,40.9,38.5,1.611723308,14,30C,0,0,12,2,30C14LW12
A7,Sal,0,0,0,0,0,0,0,14,30C,0,0,1,1,30C14Sal1
B7,Sal,0,0,0,0,0,0,0,14,30C,0,0,2,1,30C14Sal2
C7,Sal,39.34,38.72,0.61,6.82,11.1,4.5,1.045322979,14,30C,0,0,3,1,30C14Sal3
D8,Sal,0,39.62,0.18,0,5.65,0.696,0.752048448,14,30C,0,0,4,1,30C14Sal4
E7,Sal,0,0,0,0,0,0,0,14,30C,0,0,5,1,30C14Sal5
F7,Sal,0,38.27,0.06,0,14.2,0.601,1.152288344,14,30C,0,0,6,1,30C14Sal6
G7,Sal,39.56,39.19,0.58,5.89,8,3.43,0.903089987,14,30C,0,0,7,1,30C14Sal7
H7,Sal,38.46,38.77,0.27,12.4,10.2,1.94,1.008600172,14,30C,0,0,8,1,30C14Sal8
A7,Sal,0,38.97,0.53,0,16.9,5.38,1.227886705,14,30C,0,0,9,2,30C14Sal9
B9,Sal,0,39.12,0.12,0,15,1.15,1.176091259,14,30C,0,0,10,2,30C14Sal10
C7,Sal,0,0,0,0,0,0,0,14,30C,0,0,11,2,30C14Sal11
D8,Sal,0,37.59,0.3,0,38.8,7.14,1.588831726,14,30C,0,0,12,2,30C14Sal12
E10,Abd,36.78,37.18,0.65,63.6,52,18.2,1.716003344,14,33C,0,0,1,2,33C14Abd1
F10,Abd,0,38.24,0.96,0,28.1,15.7,1.44870632,14,33C,0,0,2,2,33C14Abd2
G12,Abd,0,37.98,0.71,0,31.7,13.6,1.501059262,14,33C,0,0,3,2,33C14Abd3
E5,LW,0,38.63,0.28,0,20.4,3.48,1.309630167,14,33C,0,0,1,2,33C14LW1
F4,LW,0,38.33,1.27,0,28.2,20.2,1.450249108,14,33C,0,0,2,2,33C14LW2
E7,Sal,39.26,0,0,13.7,0,0,0,14,33C,0,0,1,2,33C14Sal1
F7,Sal,0,0,0,0,0,0,0,14,33C,0,0,2,2,33C14Sal2
